trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
133,False,"{'a': 0.002, 'e': 0.3349999999999994}",25,0,-15.469806195198657,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
134,False,"{'a': 0.002, 'e': 0.3299999999999994}",20,8,-32.678410443478505,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
135,False,"{'a': 0.002, 'e': 0.3249999999999994}",20,7,-28.142381742430185,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 1}",1
136,False,"{'a': 0.002, 'e': 0.3199999999999994}",25,11,11.17114620943962,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
137,False,"{'a': 0.002, 'e': 0.3149999999999994}",20,0,-82.17179911622299,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
138,False,"{'a': 0.002, 'e': 0.3099999999999994}",20,9,21.572954507497624,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.002, 'e': 0.3049999999999994}",20,0,-0.36697438216076894,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
140,False,"{'a': 0.002, 'e': 0.2999999999999994}",20,15,8.157692044028062,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.002, 'e': 0.2949999999999994}",20,0,20.220290397479175,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
142,False,"{'a': 0.002, 'e': 0.28999999999999937}",25,13,-3.195916175669776,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
143,False,"{'a': 0.002, 'e': 0.28499999999999936}",20,10,15.888327523951833,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
